booking_id,guest_id,hotel_id,room_id,booking_date,check_in_date,check_out_date,num_guests,booking_status
37,2503,16,785,2023-07-18,2023-08-01,2023-08-05,1,completed
38,7378,40,2070,2024-03-23,2024-04-01,2024-04-02,2,completed
39,7726,44,2288,2024-02-03,2024-03-19,2024-03-20,4,completed
40,5184,53,2713,2025-10-20,2025-11-23,2025-11-28,4,completed
41,912,43,2230,2022-07-01,2022-07-29,2022-08-03,3,completed
42,1157,41,2128,2023-04-22,2023-05-12,2023-05-15,1,cancelled
43,8924,35,1795,2024-10-07,2024-11-04,2024-11-05,4,completed
44,8425,5,221,2024-03-09,2024-04-09,2024-04-10,3,completed
45,6056,33,1695,2025-03-17,2025-04-10,2025-04-14,2,cancelled
46,8283,17,859,2023-11-02,2023-11-15,2023-11-18,2,completed
47,277,44,2266,2023-03-13,2023-03-28,2023-03-29,1,completed
48,2956,8,382,2025-05-29,2025-05-30,2025-06-03,3,completed
49,1446,36,1853,2021-06-18,2021-07-24,2021-07-26,4,completed
50,1611,33,1706,2021-10-01,2021-10-02,2021-10-07,4,completed
51,116,59,3028,2023-01-11,2023-03-06,2023-03-10,1,completed
52,1941,4,191,2024-03-16,2024-04-15,2024-04-16,2,completed
53,6351,36,1833,2022-02-18,2022-04-04,2022-04-06,4,completed
54,4978,39,2032,2021-03-16,2021-04-05,2021-04-07,4,confirmed
55,5373,30,1535,2024-05-09,2024-06-11,2024-06-14,2,completed
56,3130,22,1098,2024-09-25,2024-11-15,2024-11-18,2,completed
57,1664,50,2576,2025-07-22,2025-09-17,2025-09-22,1,completed
58,5291,22,1097,2024-05-25,2024-07-18,2024-07-19,4,completed
59,537,23,1129,2024-07-12,2024-08-11,2024-08-12,2,completed
60,8464,18,909,2025-08-09,2025-08-11,2025-08-13,2,completed
61,1715,5,218,2021-04-11,2021-05-11,2021-05-13,1,completed
62,2497,60,3055,2024-06-27,2024-08-20,2024-08-25,4,confirmed
63,8778,29,1460,2022-10-02,2022-10-27,2022-10-31,1,completed
64,614,38,1962,2023-05-19,2023-06-16,2023-06-23,1,completed
65,2329,15,757,2025-06-19,2025-07-06,2025-07-11,3,completed
66,4316,27,1390,2023-08-09,2023-08-27,2023-08-30,2,confirmed
67,6935,47,2435,2022-08-30,2022-09-03,2022-09-08,2,completed
68,5232,31,1557,2025-02-20,2025-04-03,2025-04-06,1,cancelled
69,5818,38,1953,2022-11-23,2023-01-20,2023-01-23,2,cancelled
70,7196,15,744,2023-10-05,2023-11-09,2023-11-11,2,completed
71,619,9,424,2025-07-23,2025-08-27,2025-08-28,3,completed
72,2682,53,2710,2022-04-05,2022-04-10,2022-04-12,3,completed
73,1131,36,1841,2024-06-03,2024-07-07,2024-07-11,4,cancelled
74,6375,2,73,2022-01-10,2022-03-01,2022-03-03,4,completed
75,4172,25,1244,2024-12-13,2025-01-29,2025-01-30,3,completed
76,8926,19,964,2021-05-18,2021-06-18,2021-06-25,1,completed
77,6959,5,227,2021-01-01,2021-01-07,2021-01-09,2,cancelled
78,1261,33,1699,2021-06-07,2021-07-12,2021-07-15,3,confirmed
79,1621,15,757,2025-08-13,2025-09-12,2025-09-14,1,completed
80,9680,17,859,2022-01-01,2022-02-21,2022-02-25,1,completed
81,2105,38,1973,2024-12-09,2025-01-12,2025-01-19,2,completed
82,3298,50,2567,2025-05-28,2025-07-21,2025-07-23,1,completed
83,9424,47,2445,2023-02-16,2023-02-27,2023-03-03,2,confirmed
84,6810,25,1261,2023-06-14,2023-07-31,2023-08-01,4,completed
85,6781,28,1451,2021-05-20,2021-06-09,2021-06-10,2,completed
86,4553,12,567,2021-08-11,2021-10-03,2021-10-08,2,confirmed
87,4402,40,2040,2021-05-16,2021-05-29,2021-06-05,4,completed
88,9073,15,764,2023-08-11,2023-09-27,2023-09-29,4,confirmed
89,7412,40,2042,2022-10-14,2022-11-02,2022-11-03,4,completed
90,1971,18,882,2021-02-12,2021-02-25,2021-03-01,3,cancelled
91,1027,30,1522,2025-09-17,2025-10-10,2025-10-12,3,completed
92,2296,56,2897,2023-02-04,2023-02-11,2023-02-16,2,completed
93,8022,49,2527,2023-01-12,2023-02-17,2023-02-19,3,completed
94,6249,58,2972,2024-06-14,2024-07-21,2024-07-23,2,completed
95,7963,44,2264,2023-01-24,2023-02-09,2023-02-16,3,completed
96,9960,3,101,2022-01-29,2022-03-20,2022-03-27,3,completed
97,41,12,605,2022-10-20,2022-12-05,2022-12-06,3,completed
98,4728,60,3057,2025-10-29,2025-11-28,2025-12-01,2,confirmed
99,9383,1,20,2023-08-05,2023-08-19,2023-08-24,3,confirmed
100,4522,25,1238,2023-01-18,2023-02-05,2023-02-09,2,completed
101,2439,23,1126,2021-07-04,2021-08-23,2021-08-25,4,completed
102,9661,53,2716,2022-01-18,2022-03-14,2022-03-15,3,completed
103,229,38,1942,2022-07-08,2022-08-08,2022-08-10,4,completed
104,1553,33,1669,2021-02-25,2021-04-17,2021-04-21,1,completed
105,980,7,340,2023-09-06,2023-09-11,2023-09-21,1,completed
106,5318,6,304,2021-04-16,2021-05-13,2021-05-15,4,completed
107,2799,41,2085,2025-05-07,2025-06-27,2025-06-28,4,completed
108,1595,3,149,2024-06-19,2024-07-16,2024-07-19,3,completed
109,7441,54,2732,2023-03-03,2023-04-13,2023-04-17,2,completed
110,7010,53,2708,2022-03-31,2022-05-16,2022-05-23,3,confirmed
111,2937,46,2404,2022-02-04,2022-02-06,2022-02-07,2,confirmed
112,889,12,627,2023-04-24,2023-06-04,2023-06-11,3,completed
113,310,44,2256,2025-08-11,2025-08-29,2025-08-30,1,completed
114,4740,51,2621,2021-01-26,2021-02-25,2021-02-28,3,confirmed
115,1236,17,844,2025-02-12,2025-02-21,2025-02-24,4,confirmed
116,6954,58,2948,2022-01-24,2022-02-26,2022-03-03,2,confirmed
117,2239,18,866,2021-02-20,2021-03-06,2021-03-20,2,completed
118,3018,43,2206,2021-03-30,2021-04-07,2021-04-09,1,completed
119,760,55,2785,2021-08-06,2021-08-22,2021-08-27,2,completed
120,3664,37,1866,2022-01-19,2022-01-30,2022-02-01,4,completed
121,1913,51,2625,2021-10-14,2021-11-21,2021-11-23,4,completed
122,4642,22,1084,2022-02-16,2022-03-20,2022-03-22,3,completed
123,9985,29,1480,2025-05-28,2025-06-13,2025-06-14,4,completed
124,7036,13,646,2021-11-07,2021-12-23,2021-12-27,3,completed
125,4056,28,1439,2023-06-19,2023-07-19,2023-07-23,2,completed
126,4534,43,2231,2024-01-09,2024-02-01,2024-02-05,4,cancelled
127,3802,23,1146,2025-08-16,2025-09-06,2025-09-11,4,completed
128,6624,24,1222,2022-11-08,2022-11-12,2022-11-15,4,completed
129,2584,24,1220,2022-04-18,2022-05-20,2022-05-27,4,confirmed
130,6824,20,977,2022-06-07,2022-06-30,2022-07-03,4,cancelled
131,9530,45,2340,2021-10-26,2021-11-23,2021-11-25,3,completed
132,6453,28,1437,2022-09-22,2022-10-13,2022-10-17,4,cancelled
133,2086,49,2559,2025-11-04,2025-12-09,2025-12-14,2,completed
134,2525,19,935,2025-10-15,2025-12-02,2025-12-09,4,completed
135,9706,10,463,2021-07-26,2021-07-31,2021-08-02,4,cancelled
136,6855,13,669,2024-01-06,2024-01-26,2024-02-05,3,completed
137,6731,36,1840,2023-10-07,2023-10-22,2023-10-26,1,completed
138,6766,51,2618,2023-03-08,2023-03-17,2023-03-21,4,completed
139,9671,41,2102,2024-04-20,2024-06-15,2024-06-19,1,completed
140,6804,7,328,2025-08-30,2025-10-29,2025-10-31,1,completed
141,6450,58,2965,2024-08-07,2024-09-05,2024-09-07,2,confirmed
142,379,32,1613,2023-08-26,2023-08-29,2023-08-30,2,completed
143,67,7,323,2023-11-13,2024-01-04,2024-01-08,1,completed
144,9109,58,2941,2023-01-26,2023-03-03,2023-03-07,2,cancelled
145,2007,19,948,2025-04-06,2025-05-25,2025-05-27,4,completed
146,6503,12,604,2024-07-30,2024-08-08,2024-08-10,2,completed
147,6367,54,2773,2022-08-06,2022-08-31,2022-09-02,2,cancelled
148,9796,7,335,2021-09-05,2021-10-12,2021-10-16,3,completed
149,186,14,721,2025-07-07,2025-08-08,2025-08-11,1,completed
150,1800,12,615,2024-10-25,2024-12-09,2024-12-16,4,completed
151,1449,40,2064,2023-07-13,2023-07-14,2023-07-28,2,completed
152,3580,22,1090,2024-05-07,2024-05-13,2024-05-14,1,completed
153,2783,23,1157,2021-01-08,2021-02-26,2021-02-27,3,completed
154,9587,3,108,2022-01-17,2022-02-03,2022-02-05,2,completed
155,7803,59,3030,2025-07-14,2025-09-03,2025-09-06,3,cancelled
156,8741,51,2618,2022-06-25,2022-07-31,2022-08-01,3,completed
157,1452,47,2411,2021-04-25,2021-05-26,2021-06-02,1,completed
158,1211,17,858,2021-07-06,2021-07-06,2021-07-07,1,completed
159,409,4,181,2024-08-26,2024-09-05,2024-09-12,1,completed
160,2467,34,1754,2025-07-06,2025-08-29,2025-09-05,1,completed
161,6623,59,2981,2025-01-15,2025-03-12,2025-03-22,1,completed
162,4038,19,932,2021-07-20,2021-09-07,2021-09-17,3,cancelled
163,4954,36,1835,2025-12-21,2025-12-24,2025-12-26,2,cancelled
164,1224,28,1394,2024-10-14,2024-11-25,2024-11-28,1,confirmed
165,3366,59,3025,2021-03-12,2021-05-01,2021-05-02,1,completed
166,8119,8,355,2025-10-17,2025-12-01,2025-12-02,3,confirmed
167,266,9,407,2023-08-09,2023-08-09,2023-08-13,1,cancelled
168,4741,6,251,2021-08-31,2021-09-29,2021-10-04,3,completed
169,5196,9,419,2024-09-30,2024-11-28,2024-11-29,4,completed
170,7806,55,2841,2023-01-07,2023-01-25,2023-01-28,2,completed
171,9916,5,214,2024-02-04,2024-02-09,2024-02-14,4,confirmed
172,4943,40,2045,2024-09-01,2024-09-08,2024-09-22,3,completed
173,2775,16,818,2021-10-20,2021-11-07,2021-11-08,1,completed
174,3891,6,302,2022-11-16,2022-11-19,2022-11-21,4,completed
175,3040,25,1237,2023-02-20,2023-04-13,2023-04-16,2,completed
176,5295,12,626,2025-02-19,2025-02-23,2025-02-25,3,confirmed
177,4637,32,1595,2024-11-16,2024-12-20,2024-12-23,3,completed
178,8530,34,1741,2023-05-05,2023-05-23,2023-05-25,2,completed
179,957,2,67,2021-06-27,2021-08-06,2021-08-09,3,completed
180,7090,29,1475,2024-09-07,2024-09-20,2024-09-27,3,completed
181,2387,55,2799,2023-07-03,2023-07-08,2023-07-12,4,completed
182,6623,9,436,2024-08-08,2024-08-31,2024-09-02,4,confirmed
183,131,31,1545,2024-09-02,2024-09-20,2024-09-21,3,completed
184,1823,54,2743,2021-01-01,2021-01-11,2021-01-25,4,completed
185,2950,17,826,2025-05-04,2025-06-01,2025-06-05,1,completed
186,85,1,41,2025-06-19,2025-07-23,2025-07-26,3,completed
187,1644,32,1604,2023-12-05,2024-01-04,2024-01-05,2,completed
188,8217,47,2415,2021-07-19,2021-09-07,2021-09-09,2,completed
189,3758,10,479,2021-09-26,2021-10-31,2021-11-02,1,cancelled
190,8783,18,894,2022-09-29,2022-11-01,2022-11-08,3,cancelled
191,524,1,18,2021-05-21,2021-07-08,2021-07-09,4,completed
192,9918,52,2668,2022-02-22,2022-04-13,2022-04-15,1,confirmed
193,4035,23,1163,2021-01-01,2021-03-02,2021-03-07,2,completed
194,5222,50,2594,2021-09-15,2021-10-26,2021-10-28,2,completed
195,126,51,2639,2022-07-03,2022-08-16,2022-08-17,3,completed
196,8018,36,1821,2024-04-08,2024-05-11,2024-05-16,2,cancelled
197,8855,2,48,2021-02-12,2021-02-18,2021-02-25,3,completed
198,3975,20,975,2024-04-22,2024-06-09,2024-06-11,1,confirmed
199,4304,19,953,2024-01-15,2024-02-13,2024-02-16,2,completed
200,9022,3,120,2021-05-12,2021-06-24,2021-06-28,2,completed
201,370,25,1247,2025-01-30,2025-03-29,2025-03-31,1,completed
202,3725,30,1538,2024-03-02,2024-04-13,2024-04-18,2,confirmed
203,7285,17,839,2025-07-04,2025-08-11,2025-08-15,3,completed
204,5439,36,1839,2022-10-18,2022-12-07,2022-12-14,3,completed
205,342,35,1804,2022-05-28,2022-07-24,2022-07-26,4,completed
206,9876,28,1427,2024-07-10,2024-07-29,2024-07-30,2,completed
207,8517,39,2028,2021-01-01,2021-01-31,2021-02-02,3,confirmed
208,6888,30,1518,2022-04-07,2022-04-24,2022-04-27,1,completed
209,1360,26,1286,2021-10-17,2021-10-22,2021-10-25,4,completed
210,9178,5,218,2024-04-15,2024-04-18,2024-04-25,2,confirmed
211,336,33,1674,2022-01-09,2022-02-03,2022-02-06,2,completed
212,6518,19,940,2022-07-19,2022-09-10,2022-09-13,2,completed
213,5294,52,2693,2025-07-03,2025-07-21,2025-07-22,2,completed
214,2308,58,2949,2021-11-21,2021-12-23,2021-12-25,1,confirmed
215,4488,6,273,2024-12-16,2024-12-23,2024-12-24,3,completed
216,4041,56,2871,2024-04-10,2024-05-14,2024-05-15,4,completed
217,4617,55,2779,2023-01-26,2023-02-26,2023-02-28,4,completed
218,245,11,520,2021-11-30,2021-12-03,2021-12-05,2,cancelled
219,3632,43,2204,2024-05-12,2024-06-24,2024-06-29,3,completed
220,2971,60,3055,2025-08-25,2025-10-04,2025-10-05,2,completed
221,8608,25,1247,2021-02-06,2021-04-05,2021-04-07,4,completed
222,6428,12,574,2023-05-26,2023-06-26,2023-06-28,2,completed
223,9835,9,441,2021-09-21,2021-09-26,2021-09-27,2,completed
224,1954,23,1164,2022-03-13,2022-05-09,2022-05-12,2,completed
225,7780,55,2776,2023-03-15,2023-03-23,2023-03-25,1,completed
226,3530,8,356,2024-04-13,2024-04-15,2024-04-17,3,completed
227,125,12,582,2021-02-20,2021-04-03,2021-04-06,1,completed
228,9445,16,818,2022-04-05,2022-05-14,2022-05-16,4,cancelled
229,1389,39,1981,2021-01-04,2021-01-05,2021-01-06,3,cancelled
230,7050,7,330,2021-10-06,2021-10-27,2021-10-29,3,completed
231,8065,5,231,2025-01-17,2025-02-24,2025-02-26,4,completed
232,9493,40,2047,2022-02-19,2022-04-10,2022-04-11,2,completed
233,2240,48,2478,2021-05-09,2021-06-19,2021-06-29,4,completed
234,8757,50,2570,2022-07-20,2022-08-07,2022-08-09,3,completed
235,4016,29,1453,2025-04-13,2025-05-22,2025-05-26,3,completed
236,3209,44,2275,2024-10-06,2024-12-03,2024-12-10,4,confirmed
237,8175,28,1417,2024-12-25,2024-12-28,2024-12-31,4,completed
238,6850,5,207,2021-02-14,2021-02-24,2021-03-01,3,completed
239,7812,36,1822,2023-02-22,2023-04-14,2023-04-18,1,completed
240,2554,9,403,2021-04-27,2021-05-22,2021-05-26,4,completed
241,394,25,1263,2024-06-28,2024-07-19,2024-07-22,2,cancelled
242,3251,44,2267,2021-08-04,2021-09-10,2021-09-13,2,cancelled
243,6203,53,2714,2024-07-23,2024-08-18,2024-08-21,4,cancelled
244,1373,6,262,2025-09-10,2025-09-29,2025-10-01,1,cancelled
245,474,48,2480,2023-05-30,2023-07-18,2023-07-23,2,completed
246,3987,45,2302,2022-02-02,2022-03-01,2022-03-02,4,completed
247,6226,40,2051,2021-07-31,2021-09-17,2021-10-01,3,completed
248,1693,32,1612,2025-06-04,2025-06-30,2025-07-04,1,completed
249,5585,58,2946,2023-12-03,2023-12-09,2023-12-10,3,confirmed
250,497,53,2720,2025-05-22,2025-07-05,2025-07-07,3,completed
251,3015,28,1419,2025-10-26,2025-11-09,2025-11-14,3,completed
252,1043,52,2669,2023-09-10,2023-09-27,2023-09-29,3,completed
253,3615,52,2694,2022-04-02,2022-05-25,2022-05-28,4,completed
254,5145,60,3065,2024-05-15,2024-06-10,2024-06-13,4,completed
255,8378,19,960,2023-05-06,2023-05-23,2023-05-25,3,completed
256,6023,54,2736,2021-01-05,2021-02-14,2021-02-16,1,confirmed
257,6772,38,1930,2024-02-13,2024-03-08,2024-03-11,3,completed
258,1800,10,496,2024-09-12,2024-10-08,2024-10-09,4,completed
259,6847,46,2388,2021-12-20,2022-01-03,2022-01-06,1,completed
260,7223,38,1971,2022-01-21,2022-03-18,2022-03-20,2,completed
261,1196,9,424,2021-06-20,2021-08-14,2021-08-16,3,completed
262,72,12,581,2025-04-05,2025-06-01,2025-06-03,1,completed
263,4701,59,3021,2023-09-08,2023-10-07,2023-10-11,2,completed
264,6121,8,375,2022-08-17,2022-08-20,2022-08-24,2,completed
265,3772,42,2176,2023-12-03,2023-12-21,2023-12-22,2,completed
266,3982,13,657,2024-08-05,2024-08-14,2024-08-18,3,completed
267,5189,5,224,2023-08-12,2023-09-27,2023-09-30,4,completed
268,3230,27,1368,2022-01-31,2022-03-26,2022-03-30,4,completed
269,3285,1,8,2021-03-23,2021-05-18,2021-06-01,2,completed
270,444,53,2699,2025-11-21,2025-12-24,2025-12-28,3,completed
271,2073,25,1249,2025-03-30,2025-05-03,2025-05-13,2,cancelled
272,6929,55,2833,2024-10-14,2024-10-15,2024-10-18,2,completed
273,8852,39,2025,2023-09-09,2023-10-19,2023-10-23,2,confirmed
274,6246,1,22,2024-06-26,2024-08-03,2024-08-07,4,completed
275,9821,9,389,2023-12-30,2024-02-26,2024-03-11,1,completed
276,1864,56,2858,2021-10-03,2021-10-26,2021-10-28,1,completed
277,9240,60,3054,2022-12-27,2023-02-06,2023-02-07,1,completed
278,1269,7,327,2022-07-22,2022-08-21,2022-08-23,1,completed
279,8862,57,2904,2022-02-02,2022-03-20,2022-03-30,1,completed
280,4684,17,828,2021-04-19,2021-05-06,2021-05-08,3,cancelled
281,6647,25,1265,2022-11-15,2022-11-28,2022-11-29,2,completed
282,8560,41,2085,2022-07-04,2022-07-17,2022-07-20,4,completed
283,5239,23,1153,2021-03-05,2021-04-13,2021-04-15,1,completed
284,6608,34,1739,2023-02-14,2023-02-21,2023-02-23,4,completed
285,8994,17,826,2021-05-29,2021-07-06,2021-07-16,4,confirmed
286,1683,26,1323,2024-04-21,2024-05-26,2024-05-29,2,completed
287,7926,45,2306,2023-05-20,2023-06-12,2023-06-13,4,completed
288,6952,52,2681,2023-04-10,2023-05-16,2023-05-17,4,completed
289,7186,23,1158,2025-02-04,2025-02-16,2025-02-20,2,completed
290,6781,5,229,2025-10-28,2025-11-17,2025-11-18,3,completed
291,8787,14,718,2021-12-14,2022-01-24,2022-01-26,3,completed
292,6914,21,1050,2024-11-23,2024-12-16,2024-12-17,2,cancelled
293,4055,38,1963,2024-03-29,2024-04-30,2024-05-05,2,cancelled
294,6356,26,1308,2021-08-22,2021-10-18,2021-10-19,4,completed
295,5492,36,1821,2021-04-13,2021-05-17,2021-05-21,4,completed
296,7009,36,1850,2024-05-23,2024-05-23,2024-05-30,2,completed
297,106,10,494,2023-11-12,2023-11-22,2023-11-24,4,completed
298,2929,31,1568,2023-04-10,2023-05-31,2023-06-03,3,completed
299,5189,5,239,2022-12-16,2023-01-30,2023-02-04,3,confirmed
300,2061,56,2879,2023-01-03,2023-01-30,2023-02-09,2,confirmed
301,73,52,2682,2023-06-16,2023-08-15,2023-08-20,4,completed
302,2050,57,2901,2024-06-09,2024-08-01,2024-08-04,2,cancelled
303,7927,51,2642,2023-07-03,2023-08-19,2023-08-22,1,completed
304,1981,57,2919,2021-09-01,2021-10-15,2021-10-17,4,completed
305,3251,1,39,2021-03-09,2021-05-06,2021-05-07,1,confirmed
306,788,53,2705,2024-12-29,2025-01-07,2025-01-14,3,cancelled
307,8010,14,677,2022-11-16,2022-12-16,2022-12-20,4,completed
308,7695,7,333,2021-07-29,2021-09-04,2021-09-08,1,completed
309,6164,24,1215,2024-04-15,2024-06-03,2024-06-06,4,completed
310,6664,19,925,2024-04-15,2024-05-28,2024-06-01,2,completed
311,3192,19,940,2021-01-01,2021-02-02,2021-02-03,2,completed
312,4613,9,431,2023-01-25,2023-02-17,2023-02-21,4,cancelled
313,3282,45,2316,2021-08-12,2021-09-18,2021-09-23,3,confirmed
314,3996,40,2038,2023-06-15,2023-07-29,2023-07-30,2,completed
315,6904,4,169,2022-10-08,2022-11-17,2022-11-20,1,completed
316,5387,3,110,2021-02-14,2021-03-31,2021-04-01,2,completed
317,6866,1,2,2023-10-05,2023-10-30,2023-10-31,2,completed
318,4287,55,2835,2022-09-26,2022-11-20,2022-11-23,2,completed
319,3616,21,1040,2023-10-24,2023-11-06,2023-11-09,1,completed
320,9833,12,576,2022-07-05,2022-08-04,2022-08-07,3,completed
321,6299,16,822,2023-09-22,2023-11-01,2023-11-08,3,completed
322,3934,52,2669,2021-02-11,2021-02-16,2021-02-23,4,completed
323,2273,53,2722,2023-03-29,2023-05-17,2023-05-19,3,completed
324,6437,35,1777,2022-05-19,2022-06-25,2022-07-02,4,completed
325,2106,19,923,2021-02-06,2021-03-22,2021-03-27,2,completed
326,341,35,1781,2024-09-03,2024-09-22,2024-09-23,4,completed
327,287,21,1027,2024-03-03,2024-04-21,2024-04-22,2,completed
328,2347,32,1601,2023-03-20,2023-04-01,2023-04-11,2,completed
329,3842,21,1048,2025-09-14,2025-09-27,2025-10-01,2,completed
330,211,6,302,2021-04-28,2021-04-30,2021-05-01,2,completed
331,1081,36,1847,2023-12-04,2023-12-04,2023-12-05,3,completed
332,8712,3,120,2023-10-16,2023-12-15,2023-12-19,3,cancelled
333,1057,22,1110,2025-10-22,2025-12-09,2025-12-19,1,cancelled
334,3771,4,178,2024-11-19,2024-12-17,2024-12-19,1,completed
335,3973,50,2592,2023-01-19,2023-03-18,2023-03-20,1,completed
336,2300,9,431,2024-07-20,2024-07-24,2024-07-27,3,completed
337,7519,58,2949,2025-04-25,2025-04-25,2025-04-28,2,completed
338,1207,54,2734,2021-02-01,2021-03-16,2021-03-30,2,completed
339,4007,1,40,2023-05-25,2023-06-06,2023-06-09,3,completed
340,2286,7,341,2024-02-25,2024-04-12,2024-04-26,4,completed
341,9936,15,768,2023-03-25,2023-04-16,2023-04-20,1,completed
342,6645,52,2680,2023-03-31,2023-05-25,2023-05-28,4,confirmed
343,7844,26,1321,2021-08-11,2021-09-14,2021-09-18,2,completed
344,6704,60,3056,2023-04-09,2023-06-05,2023-06-08,3,completed
345,403,6,290,2024-07-15,2024-09-02,2024-09-04,2,completed
346,7535,60,3066,2021-12-08,2021-12-19,2021-12-22,4,completed
347,7273,33,1710,2024-10-11,2024-11-16,2024-11-19,2,completed
348,7333,42,2162,2021-05-04,2021-06-25,2021-07-05,2,completed
349,9017,59,2977,2023-07-02,2023-08-08,2023-08-10,3,cancelled
350,9267,35,1762,2021-08-27,2021-10-05,2021-10-07,4,completed
351,2496,28,1411,2024-04-26,2024-05-20,2024-05-25,2,completed
352,9127,24,1231,2025-02-08,2025-02-28,2025-03-03,1,confirmed
353,4767,8,370,2021-06-24,2021-08-12,2021-08-19,4,completed
354,9035,38,1934,2024-01-24,2024-03-16,2024-03-17,3,confirmed
355,6496,23,1126,2023-12-26,2023-12-31,2024-01-03,3,completed
356,8612,28,1393,2021-04-02,2021-04-25,2021-05-02,1,completed
357,9888,12,596,2022-05-28,2022-07-07,2022-07-10,4,cancelled
358,9195,54,2760,2022-12-14,2022-12-17,2022-12-21,1,completed
359,2315,38,1934,2021-01-01,2021-02-06,2021-02-07,3,completed
360,217,5,240,2023-09-26,2023-11-05,2023-11-07,3,confirmed
361,2801,37,1856,2023-02-24,2023-04-03,2023-04-07,2,completed
362,2656,15,750,2023-02-23,2023-04-16,2023-04-20,1,confirmed
363,6299,11,559,2021-01-26,2021-03-27,2021-03-28,2,completed
364,325,9,439,2022-04-24,2022-06-20,2022-06-25,4,completed
365,2276,17,860,2023-06-14,2023-07-14,2023-07-16,3,completed
366,408,45,2334,2023-08-28,2023-10-11,2023-10-18,3,confirmed
367,4999,26,1326,2024-08-28,2024-09-20,2024-09-30,4,completed
368,4190,4,186,2023-11-28,2024-01-17,2024-01-24,3,cancelled
369,4148,24,1184,2022-06-01,2022-06-05,2022-06-07,4,completed
370,8995,35,1798,2025-06-14,2025-08-12,2025-08-15,2,completed
371,4386,33,1669,2025-04-13,2025-05-30,2025-06-01,3,completed
372,8963,28,1431,2021-10-02,2021-11-24,2021-12-01,4,completed
373,6417,54,2748,2023-11-18,2023-11-27,2023-11-29,4,confirmed
374,7746,24,1203,2023-07-22,2023-08-23,2023-08-24,3,completed
375,3993,11,552,2025-10-28,2025-12-16,2025-12-20,2,completed
376,4126,20,986,2025-10-24,2025-11-20,2025-12-04,3,completed
377,8775,3,143,2021-01-01,2021-02-18,2021-02-23,1,completed
378,5918,47,2410,2024-04-18,2024-05-05,2024-05-07,2,completed
379,135,4,191,2021-12-12,2022-02-08,2022-02-10,2,completed
380,9293,3,157,2023-05-19,2023-07-05,2023-07-07,2,completed
381,9672,21,1039,2024-07-02,2024-07-24,2024-07-29,1,completed
382,3960,36,1820,2021-04-19,2021-05-10,2021-05-13,3,completed
383,1802,23,1123,2024-09-03,2024-10-17,2024-10-18,3,completed
384,5628,2,86,2022-01-08,2022-01-14,2022-01-24,3,completed
385,3719,57,2905,2021-09-05,2021-10-13,2021-10-20,2,completed
386,3667,49,2550,2024-05-07,2024-06-24,2024-07-01,1,completed
