room_id,hotel_id,room_type_id,room_number,floor,status
183,4,13,1201,12,available
184,4,17,1002,10,available
185,4,17,1103,11,available
186,4,17,204,2,available
187,4,13,1005,10,available
188,4,14,606,6,available
189,4,17,707,7,occupied
190,4,13,608,6,available
191,4,16,809,8,available
192,4,17,110,1,occupied
193,4,16,1111,11,occupied
194,4,14,1012,10,available
195,4,15,213,2,available
196,4,16,114,1,occupied
197,4,15,615,6,occupied
198,4,15,616,6,maintenance
199,5,19,800,8,occupied
200,5,19,801,8,available
201,5,20,502,5,occupied
202,5,18,403,4,available
203,5,20,1104,11,available
204,5,19,605,6,occupied
205,5,18,806,8,occupied
206,5,19,607,6,available
207,5,20,408,4,available
208,5,19,209,2,occupied
209,5,18,1110,11,available
210,5,20,811,8,available
211,5,19,412,4,available
212,5,20,813,8,available
213,5,19,614,6,occupied
214,5,18,615,6,available
215,5,18,1016,10,available
216,5,20,1217,12,available
217,5,19,918,9,available
218,5,19,1019,10,available
219,5,18,200,2,available
220,5,20,1101,11,available
221,5,19,302,3,occupied
222,5,20,603,6,available
223,5,19,204,2,occupied
224,5,20,505,5,available
225,5,18,606,6,maintenance
226,5,19,107,1,available
227,5,18,1108,11,maintenance
228,5,18,809,8,available
229,5,20,410,4,available
230,5,18,811,8,available
231,5,18,312,3,available
232,5,18,113,1,occupied
233,5,19,814,8,available
234,5,20,1015,10,available
235,5,18,916,9,available
236,5,20,1017,10,occupied
237,5,19,1218,12,available
238,5,19,519,5,available
239,5,19,400,4,available
240,5,19,201,2,maintenance
241,5,18,602,6,occupied
242,5,20,403,4,occupied
243,5,20,304,3,available
244,6,24,900,9,available
245,6,22,1201,12,available
246,6,22,802,8,available
247,6,21,803,8,available
248,6,24,1004,10,available
249,6,22,105,1,available
250,6,21,606,6,available
251,6,22,207,2,available
252,6,21,1208,12,available
253,6,23,1209,12,available
254,6,24,710,7,occupied
255,6,22,711,7,available
256,6,24,512,5,available
257,6,23,613,6,available
258,6,24,314,3,occupied
259,6,23,115,1,maintenance
260,6,21,1216,12,occupied
261,6,21,217,2,available
262,6,24,1218,12,available
263,6,22,419,4,maintenance
264,6,22,300,3,available
265,6,24,1201,12,available
266,6,21,202,2,occupied
267,6,24,703,7,available
268,6,24,304,3,occupied
269,6,22,205,2,available
270,6,22,1206,12,available
271,6,23,807,8,available
272,6,23,708,7,available
273,6,23,1109,11,available
274,6,23,810,8,occupied
275,6,23,111,1,occupied
276,6,21,912,9,available
277,6,23,213,2,available
278,6,21,114,1,available
279,6,23,115,1,occupied
280,6,23,216,2,maintenance
281,6,22,1117,11,available
282,6,22,918,9,available
283,6,23,219,2,occupied
284,6,22,1000,10,available
285,6,22,801,8,occupied
286,6,22,902,9,available
287,6,24,103,1,available
288,6,21,504,5,occupied
289,6,21,605,6,available
290,6,22,206,2,available
291,6,22,1007,10,occupied
292,6,24,1108,11,available
293,6,24,809,8,occupied
294,6,21,610,6,available
295,6,22,411,4,maintenance
296,6,24,412,4,occupied
297,6,21,613,6,available
298,6,24,1114,11,occupied
299,6,21,915,9,available
300,6,23,916,9,available
301,6,24,917,9,available
302,6,23,618,6,available
303,6,22,519,5,occupied
304,6,24,700,7,available
305,6,21,801,8,available
306,7,26,900,9,available
307,7,26,501,5,available
308,7,26,1102,11,available
309,7,27,103,1,available
310,7,25,504,5,occupied
311,7,27,1005,10,available
312,7,27,606,6,occupied
313,7,27,107,1,available
314,7,26,708,7,available
315,7,27,109,1,occupied
316,7,27,710,7,occupied
317,7,27,311,3,available
318,7,27,1212,12,available
319,7,25,213,2,available
320,7,25,414,4,occupied
321,7,25,1215,12,available
322,7,25,1016,10,available
323,7,25,117,1,occupied
324,7,25,1218,12,available
325,7,26,119,1,occupied
326,7,27,600,6,maintenance
327,7,26,401,4,available
328,7,26,102,1,available
329,7,27,403,4,available
330,7,26,704,7,available
331,7,27,1105,11,available
332,7,27,1206,12,occupied
333,7,26,1207,12,available
334,7,26,708,7,available
335,7,25,809,8,available
336,7,25,1110,11,available
337,7,25,1211,12,occupied
338,7,25,1112,11,available
339,7,25,1113,11,available
340,7,25,814,8,available
341,7,27,615,6,available
342,8,30,1200,12,occupied
343,8,29,501,5,available
344,8,29,1002,10,available
345,8,28,703,7,occupied
346,8,28,204,2,available
347,8,29,405,4,available
348,8,28,806,8,available
349,8,28,407,4,available
350,8,29,308,3,available
351,8,30,209,2,available
352,8,30,610,6,available
353,8,28,811,8,available
354,8,28,1112,11,occupied
355,8,28,413,4,occupied
356,8,28,1014,10,available
357,8,28,615,6,occupied
358,8,29,316,3,available
359,8,28,1117,11,available
360,8,29,318,3,occupied
361,8,30,219,2,available
362,8,30,400,4,available
363,8,30,801,8,available
364,8,29,202,2,occupied
365,8,30,903,9,available
366,8,28,304,3,available
367,8,29,105,1,available
368,8,28,706,7,available
369,8,28,1007,10,occupied
370,8,30,608,6,available
371,8,28,209,2,available
372,8,28,710,7,available
373,8,28,711,7,occupied
374,8,28,412,4,occupied
375,8,28,1013,10,available
376,8,28,1114,11,occupied
377,8,29,1015,10,available
378,8,29,1116,11,available
379,8,29,1217,12,available
380,8,29,1018,10,available
381,8,30,819,8,available
382,8,28,800,8,available
383,8,29,401,4,available
384,8,30,1202,12,available
385,8,29,503,5,occupied
386,8,29,1204,12,available
387,8,29,305,3,available
388,9,32,700,7,available
389,9,33,401,4,occupied
390,9,34,702,7,available
391,9,34,803,8,maintenance
392,9,34,604,6,available
393,9,34,305,3,occupied
394,9,32,406,4,available
395,9,32,1007,10,available
396,9,33,808,8,available
397,9,34,609,6,available
398,9,32,710,7,available
399,9,31,911,9,available
400,9,33,1012,10,available
401,9,32,413,4,available
402,9,32,1114,11,available
403,9,34,315,3,occupied
404,9,31,1216,12,available
405,9,32,517,5,maintenance
406,9,32,1118,11,available
407,9,32,319,3,available
408,9,34,400,4,occupied
409,9,32,801,8,available
410,9,31,1102,11,available
411,9,31,203,2,available
412,9,31,604,6,occupied
413,9,33,605,6,available
414,9,32,406,4,available
415,9,31,607,6,available
416,9,33,1008,10,occupied
417,9,34,809,8,available
418,9,32,510,5,available
419,9,32,311,3,available
420,9,31,912,9,occupied
421,9,34,313,3,available
422,9,34,1214,12,maintenance
423,9,32,215,2,available
424,9,32,816,8,available
425,9,31,317,3,occupied
426,9,34,718,7,available
427,9,31,1019,10,available
428,9,33,800,8,available
429,9,32,801,8,occupied
430,9,34,1102,11,available
431,9,33,203,2,occupied
432,9,31,304,3,available
433,9,33,1105,11,available
434,9,32,206,2,maintenance
435,9,32,1107,11,available
436,9,31,608,6,available
437,9,34,109,1,available
438,9,34,310,3,available
439,9,33,411,4,available
440,9,31,812,8,available
441,9,32,113,1,available
442,9,33,514,5,available
443,9,34,615,6,available
444,10,35,600,6,available
445,10,36,1001,10,available
446,10,35,502,5,available
447,10,38,703,7,available
448,10,37,1204,12,available
449,10,37,905,9,occupied
450,10,38,706,7,occupied
451,10,36,607,6,occupied
452,10,36,808,8,available
453,10,35,809,8,occupied
454,10,35,1110,11,occupied
455,10,35,111,1,occupied
456,10,35,412,4,available
457,10,37,213,2,available
458,10,36,214,2,occupied
459,10,35,1215,12,available
460,10,37,1016,10,available
461,10,38,1117,11,occupied
462,10,35,1018,10,available
463,10,36,419,4,occupied
464,10,35,300,3,available
465,10,35,101,1,available
466,10,36,402,4,available
467,10,35,703,7,available
468,10,36,804,8,occupied
469,10,38,1005,10,occupied
470,10,38,506,5,occupied
471,10,35,807,8,available
472,10,35,208,2,available
473,10,36,509,5,available
474,10,36,1210,12,available
475,10,35,411,4,available
476,10,37,412,4,available
477,10,37,1013,10,available
478,10,37,414,4,available
479,10,37,1215,12,available
480,10,35,1116,11,occupied
481,10,37,517,5,occupied
482,10,35,118,1,available
483,10,37,1219,12,available
484,10,38,200,2,available
485,10,38,101,1,maintenance
486,10,35,602,6,available
487,10,37,1203,12,available
488,10,35,1004,10,available
489,10,37,805,8,available
490,10,38,606,6,available
491,10,38,607,6,available
492,10,36,408,4,available
493,10,35,1209,12,available
494,10,38,810,8,available
495,10,38,811,8,occupied
496,10,38,812,8,available
497,10,38,713,7,occupied
498,10,36,614,6,available
499,10,36,715,7,available
500,10,38,1116,11,occupied
501,10,36,1017,10,occupied
502,10,36,218,2,available
503,11,40,500,5,available
504,11,39,801,8,available
505,11,41,902,9,available
506,11,40,803,8,available
507,11,42,704,7,available
508,11,40,805,8,maintenance
509,11,39,606,6,maintenance
510,11,39,607,6,occupied
511,11,43,508,5,available
512,11,43,809,8,occupied
513,11,42,810,8,available
514,11,41,1111,11,available
515,11,41,1112,11,available
516,11,43,213,2,available
517,11,43,514,5,available
518,11,41,1215,12,occupied
519,11,41,1016,10,maintenance
520,11,39,117,1,available
521,11,42,418,4,available
522,11,41,1219,12,available
523,11,41,1100,11,occupied
524,11,42,501,5,available
525,11,43,602,6,available
526,11,40,603,6,occupied
527,11,43,404,4,occupied
528,11,43,405,4,occupied
529,11,40,806,8,available
530,11,39,607,6,available
531,11,39,708,7,occupied
532,11,43,609,6,available
533,11,42,810,8,available
534,11,41,211,2,available
535,11,40,512,5,occupied
536,11,41,113,1,available
537,11,40,1114,11,available
538,11,41,1015,10,available
539,11,40,516,5,maintenance
540,11,42,617,6,available
541,11,43,418,4,occupied
542,11,40,1019,10,available
543,11,41,1200,12,available
544,11,40,901,9,occupied
545,11,41,402,4,occupied
546,11,42,1203,12,occupied
547,11,39,504,5,available
548,11,40,505,5,available
549,11,42,206,2,available
550,11,40,807,8,available
551,11,43,308,3,available
552,11,41,209,2,occupied
553,11,42,510,5,available
554,11,43,811,8,available
555,11,43,312,3,available
556,11,39,213,2,available
557,11,41,914,9,available
558,11,40,615,6,occupied
559,11,42,916,9,available
560,11,42,1117,11,available
561,11,40,618,6,available
562,11,39,1119,11,available
563,12,44,900,9,available
564,12,45,801,8,available
565,12,44,302,3,available
566,12,45,1203,12,available
567,12,46,604,6,available
568,12,47,605,6,occupied
569,12,47,706,7,available
570,12,47,1107,11,occupied
571,12,45,908,9,occupied
572,12,45,809,8,available
573,12,46,410,4,available
574,12,44,111,1,available
575,12,45,812,8,available
576,12,45,413,4,occupied
577,12,45,914,9,available
578,12,47,1115,11,available
579,12,44,916,9,occupied
580,12,47,117,1,available
581,12,47,918,9,available
582,12,45,1019,10,available
583,12,45,1000,10,available
584,12,46,1201,12,available
585,12,46,902,9,occupied
586,12,45,703,7,available
587,12,44,1104,11,occupied
588,12,46,505,5,available
589,12,47,306,3,occupied
590,12,46,607,6,available
591,12,46,708,7,available
592,12,46,809,8,available
593,12,47,410,4,available
594,12,44,711,7,occupied
595,12,45,412,4,occupied
596,12,46,1213,12,available
597,12,46,614,6,available
598,12,45,1015,10,occupied
599,12,46,416,4,available
600,12,46,117,1,available
601,12,45,618,6,available
602,12,47,1219,12,available
603,12,47,1000,10,occupied
604,12,47,801,8,available
605,12,46,1102,11,occupied
606,12,45,203,2,available
607,12,44,104,1,available
608,12,44,505,5,occupied
609,12,46,806,8,available
610,12,45,207,2,available
611,12,45,1108,11,available
612,12,47,1209,12,occupied
613,12,44,510,5,available
614,12,44,511,5,occupied
615,12,44,512,5,available
616,12,47,413,4,available
617,12,44,814,8,available
618,12,44,215,2,occupied
619,12,47,1016,10,available
620,12,46,517,5,available
621,12,47,218,2,occupied
622,12,45,419,4,available
623,12,47,100,1,available
624,12,47,801,8,available
625,12,44,1002,10,occupied
626,12,44,503,5,occupied
627,12,47,404,4,occupied
628,12,44,1105,11,available
629,13,49,1200,12,available
630,13,48,1101,11,available
631,13,51,902,9,maintenance
632,13,51,403,4,occupied
633,13,48,504,5,available
634,13,50,805,8,occupied
635,13,49,606,6,available
636,13,50,1207,12,available
637,13,49,608,6,occupied
638,13,50,709,7,available
639,13,51,610,6,available
640,13,50,511,5,available
641,13,51,1112,11,available
642,13,50,713,7,available
643,13,50,314,3,available
644,13,50,1115,11,available
645,13,49,116,1,available
646,13,49,1017,10,available
647,13,49,1018,10,available
648,13,49,1219,12,available
649,13,51,200,2,maintenance
650,13,48,901,9,available
651,13,48,502,5,occupied
652,13,49,1203,12,available
653,13,50,804,8,available
654,13,50,905,9,occupied
655,13,51,406,4,available
656,13,51,1207,12,occupied
657,13,48,408,4,available
658,13,51,309,3,occupied
659,13,49,1210,12,available
660,13,48,811,8,available
661,13,48,1212,12,maintenance
662,13,49,713,7,available
663,13,49,914,9,available
664,13,49,115,1,available
665,13,50,216,2,available
666,13,48,217,2,available
667,13,48,718,7,occupied
668,13,51,119,1,available
669,13,50,600,6,available
670,13,49,501,5,available
671,14,55,1100,11,available
672,14,52,1101,11,available
673,14,52,802,8,available
674,14,52,503,5,occupied
675,14,55,904,9,occupied
676,14,55,1205,12,available
677,14,54,1106,11,available
678,14,52,707,7,available
679,14,55,208,2,available
680,14,52,209,2,available
681,14,52,810,8,available
682,14,54,411,4,available
683,14,55,112,1,available
684,14,55,413,4,available
685,14,52,114,1,available
686,14,52,915,9,available
687,14,53,816,8,available
688,14,55,917,9,available
689,14,52,518,5,available
690,14,55,319,3,occupied
691,14,54,300,3,available
692,14,54,701,7,available
693,14,53,202,2,available
694,14,55,403,4,available
695,14,53,704,7,available
696,14,53,405,4,available
697,14,55,406,4,occupied
698,14,52,207,2,available
699,14,53,1208,12,maintenance
700,14,52,809,8,available
701,14,55,110,1,occupied
702,14,54,1111,11,available
703,14,55,812,8,available
704,14,55,913,9,occupied
705,14,52,214,2,available
706,14,54,815,8,available
707,14,53,316,3,available
708,14,53,217,2,available
709,14,53,818,8,available
710,14,54,919,9,available
711,14,52,1100,11,available
712,14,55,201,2,available
713,14,53,402,4,available
714,14,53,1203,12,occupied
715,14,52,604,6,available
716,14,52,205,2,available
717,14,54,1006,10,available
718,14,54,307,3,available
719,14,53,808,8,occupied
720,14,53,1109,11,available
721,14,55,410,4,available
722,14,55,911,9,available
723,14,52,312,3,available
724,14,53,213,2,available
725,14,52,1014,10,available
726,14,55,1115,11,available
727,14,53,516,5,available
728,14,55,117,1,occupied
729,14,55,118,1,available
730,14,54,719,7,available
731,14,53,1200,12,occupied
732,14,55,1001,10,occupied
733,14,55,1102,11,occupied
734,14,53,403,4,available
735,14,54,804,8,occupied
736,14,55,1005,10,available
737,14,52,906,9,available
738,15,56,600,6,available
739,15,58,801,8,available
740,15,58,502,5,occupied
741,15,60,603,6,occupied
742,15,59,904,9,available
743,15,60,1205,12,available
744,15,60,1006,10,available
745,15,60,307,3,available
746,15,56,1208,12,available
747,15,58,909,9,available
748,15,56,510,5,available
749,15,58,511,5,available
750,15,57,612,6,occupied
751,15,58,413,4,available
752,15,58,514,5,available
753,15,58,915,9,available
754,15,58,516,5,available
755,15,57,1017,10,occupied
756,15,57,1218,12,available
757,15,58,1219,12,available
758,15,58,400,4,occupied
759,15,60,901,9,available
760,15,58,1102,11,available
761,15,60,1103,11,occupied
762,15,57,1104,11,occupied
763,15,58,405,4,available
764,15,58,1006,10,available
765,15,58,307,3,available
766,15,56,508,5,available
767,15,59,909,9,maintenance
768,15,56,210,2,available
769,15,58,811,8,available
770,15,60,1012,10,occupied
771,15,60,1013,10,available
772,15,58,114,1,maintenance
773,15,59,1015,10,available
774,15,59,716,7,available
775,15,57,317,3,available
776,15,56,118,1,occupied
777,16,61,900,9,available
778,16,62,201,2,occupied
779,16,64,402,4,available
780,16,61,103,1,available
781,16,63,504,5,available
782,16,62,405,4,available
783,16,63,906,9,available
784,16,62,307,3,available
785,16,63,408,4,available
786,16,64,409,4,available
787,16,61,310,3,available
788,16,63,811,8,available
789,16,62,712,7,available
790,16,64,1013,10,available
791,16,62,414,4,available
792,16,61,415,4,available
793,16,64,1016,10,occupied
794,16,64,817,8,available
795,16,61,218,2,available
796,16,64,819,8,available
797,16,64,1000,10,occupied
798,16,61,901,9,occupied
799,16,62,1102,11,available
800,16,63,603,6,available
801,16,64,804,8,available
802,16,63,305,3,occupied
803,16,64,306,3,occupied
804,16,62,407,4,available
805,16,64,508,5,available
806,16,63,409,4,available
807,16,64,110,1,available
808,16,62,1111,11,available
809,16,64,1212,12,occupied
810,16,64,1013,10,available
811,16,64,114,1,available
812,16,64,715,7,available
813,16,63,616,6,available
814,16,63,517,5,available
815,16,62,418,4,occupied
816,16,62,119,1,maintenance
817,16,63,100,1,occupied
818,16,61,1201,12,occupied
819,16,61,1002,10,available
820,16,61,503,5,available
821,16,63,804,8,available
822,16,62,705,7,available
823,16,62,406,4,available
824,17,65,400,4,occupied
825,17,65,1001,10,available
826,17,66,502,5,available
827,17,68,303,3,available
828,17,66,1004,10,occupied
829,17,65,205,2,available
830,17,66,906,9,available
831,17,68,907,9,occupied
832,17,66,308,3,available
833,17,66,409,4,occupied
834,17,67,310,3,occupied
835,17,65,911,9,available
836,17,65,712,7,available
837,17,65,813,8,available
838,17,66,414,4,occupied
839,17,67,1015,10,occupied
840,17,68,416,4,available
841,17,65,1217,12,available
842,17,65,218,2,maintenance
843,17,66,119,1,available
844,17,68,1100,11,occupied
845,17,68,901,9,available
846,17,67,1002,10,available
847,17,68,503,5,available
848,17,68,304,3,available
849,17,68,305,3,occupied
850,17,66,206,2,available
851,17,67,507,5,available
852,17,68,708,7,available
853,17,67,109,1,available
854,17,66,110,1,available
855,17,66,811,8,occupied
856,17,66,1112,11,occupied
857,17,68,413,4,available
858,17,66,814,8,available
859,17,68,815,8,occupied
860,17,67,416,4,available
861,17,68,117,1,available
862,17,66,1118,11,occupied
863,17,67,619,6,available
864,18,70,1100,11,occupied
865,18,69,1001,10,available
866,18,71,902,9,available
867,18,70,203,2,available
868,18,69,504,5,occupied
869,18,69,105,1,maintenance
870,18,69,1206,12,occupied
871,18,70,107,1,available
872,18,69,1108,11,available
873,18,69,809,8,available
874,18,71,810,8,available
875,18,70,511,5,available
876,18,71,1012,10,available
877,18,70,813,8,available
878,18,71,114,1,available
879,18,71,1215,12,occupied
880,18,71,216,2,maintenance
881,18,69,717,7,available
882,18,71,818,8,occupied
883,18,71,519,5,available
884,18,69,200,2,available
885,18,70,701,7,available
886,18,69,502,5,available
887,18,69,403,4,available
888,18,69,704,7,occupied
889,18,69,705,7,available
890,18,70,406,4,available
891,18,69,307,3,occupied
892,18,70,1208,12,available
893,18,69,409,4,available
894,18,69,1110,11,available
895,18,69,1111,11,available
896,18,70,1012,10,occupied
897,18,70,813,8,maintenance
898,18,70,1014,10,available
899,18,71,615,6,available
900,18,70,916,9,available
901,18,71,1217,12,available
902,18,71,518,5,occupied
903,18,69,419,4,occupied
904,18,70,800,8,available
905,18,71,501,5,available
906,18,71,702,7,available
907,18,71,503,5,occupied
908,18,70,204,2,occupied
909,18,71,405,4,occupied
910,18,69,406,4,available
911,18,69,207,2,available
912,18,71,608,6,available
913,18,70,709,7,available
914,18,70,210,2,available
915,18,71,811,8,occupied
916,18,71,212,2,occupied
917,18,69,713,7,available
918,18,70,314,3,available
919,18,69,615,6,occupied
920,18,69,516,5,available
921,18,70,717,7,available
922,18,70,718,7,occupied
923,19,73,1000,10,occupied
924,19,74,301,3,available
925,19,75,202,2,available
926,19,72,1203,12,available
927,19,75,804,8,occupied
928,19,73,105,1,available
929,19,73,106,1,available
930,19,74,1107,11,available
931,19,74,1108,11,available
932,19,72,309,3,occupied
933,19,74,210,2,available
934,19,72,111,1,available
935,19,73,312,3,occupied
936,19,75,213,2,available
937,19,74,1014,10,occupied
938,19,72,1015,10,available
939,19,72,816,8,available
940,19,74,317,3,available
941,19,72,818,8,available
942,19,74,119,1,available
943,19,74,1100,11,available
944,19,75,801,8,available
945,19,74,502,5,available
946,19,75,703,7,occupied
947,19,73,504,5,available
948,19,73,405,4,available
949,19,73,106,1,available
950,19,72,307,3,available
951,19,75,308,3,available
952,19,72,509,5,occupied
953,19,74,1010,10,available
954,19,75,711,7,available
955,19,74,1212,12,available
956,19,75,1113,11,available
957,19,73,714,7,available
958,19,72,115,1,available
959,19,74,716,7,available
960,19,75,817,8,available
961,19,75,1218,12,occupied
962,19,75,319,3,occupied
963,19,75,1100,11,available
964,19,73,101,1,occupied
965,19,73,502,5,available
966,19,75,603,6,available
967,19,73,404,4,available
968,19,75,505,5,occupied
969,19,73,706,7,available
970,19,72,1107,11,available
971,20,80,600,6,available
972,20,76,801,8,occupied
973,20,80,402,4,available
974,20,78,1103,11,available
975,20,80,504,5,available
976,20,80,1005,10,available
977,20,80,406,4,available
978,20,76,807,8,maintenance
979,20,80,908,9,available
980,20,79,109,1,available
981,20,76,710,7,available
982,20,76,811,8,occupied
983,20,79,812,8,occupied
984,20,80,1013,10,available
985,20,78,1014,10,available
986,20,78,515,5,occupied
987,20,76,416,4,available
988,20,80,517,5,available
989,20,76,918,9,available
990,20,77,819,8,available
991,20,76,700,7,available
992,20,76,501,5,available
993,20,80,702,7,available
994,20,78,1003,10,available
995,20,79,1004,10,available
996,20,80,505,5,occupied
997,20,77,706,7,available
998,20,78,307,3,available
999,20,77,108,1,available
1000,20,76,609,6,available
1001,20,79,110,1,available
1002,20,78,311,3,available
1003,20,78,712,7,available
1004,20,79,413,4,occupied
1005,20,78,214,2,occupied
1006,20,78,515,5,maintenance
1007,20,80,1116,11,available
1008,20,77,217,2,occupied
1009,20,76,418,4,available
1010,20,78,319,3,available
1011,20,79,600,6,available
1012,20,80,801,8,available
1013,20,79,1102,11,available
1014,20,76,603,6,occupied
1015,20,78,304,3,available
1016,20,77,905,9,occupied
1017,20,76,1006,10,occupied
1018,20,76,207,2,available
1019,20,78,308,3,available
1020,20,80,409,4,available
1021,20,78,110,1,available
1022,21,84,200,2,occupied
1023,21,84,401,4,available
1024,21,84,1002,10,occupied
1025,21,81,1203,12,available
1026,21,84,904,9,occupied
1027,21,84,605,6,available
1028,21,82,106,1,available
1029,21,82,107,1,available
1030,21,81,1108,11,occupied
1031,21,83,709,7,occupied
1032,21,81,610,6,occupied
1033,21,81,311,3,occupied
1034,21,81,1012,10,available
1035,21,84,913,9,maintenance
1036,21,83,214,2,available
1037,21,81,1115,11,available
1038,21,83,916,9,occupied
1039,21,83,117,1,occupied
1040,21,81,518,5,available
1041,21,82,1219,12,available
1042,21,84,300,3,available
1043,21,84,201,2,maintenance
1044,21,83,202,2,available
1045,21,83,703,7,available
1046,21,83,604,6,available
1047,21,81,305,3,occupied
1048,21,81,606,6,available
1049,21,83,607,6,available
1050,21,81,308,3,available
1051,21,81,409,4,available
1052,21,83,910,9,occupied
1053,21,81,1211,12,available
1054,21,83,912,9,available
1055,21,81,713,7,occupied
1056,21,81,514,5,occupied
1057,21,84,215,2,available
1058,21,83,1216,12,available
1059,21,81,217,2,occupied
1060,21,81,218,2,occupied
1061,21,81,819,8,occupied
1062,21,84,900,9,available
1063,21,82,1001,10,occupied
1064,21,82,202,2,available
1065,21,82,1103,11,occupied
1066,21,81,1104,11,occupied
1067,21,84,405,4,occupied
1068,21,82,306,3,occupied
1069,21,82,707,7,available
1070,21,83,1008,10,occupied
1071,21,82,809,8,available
1072,21,81,710,7,available
1073,21,84,411,4,occupied
1074,21,83,612,6,available
1075,21,84,1013,10,available
1076,22,85,1200,12,available
