"hotel_name","type_name","revenue"
Hill Grand Hotel,Double,46494.37
Hill Grand Hotel,Single,43703.80
Jackson Inn,Double,166409.80
Jackson Inn,Deluxe,161680.53
Jackson Inn,Suite,117086.62
Jackson Inn,Family Room,101006.69
Johnson Grand Hotel,Suite,431322.61
Johnson Grand Hotel,Family Room,359787.37
Johnson Grand Hotel,Double,201343.13
Johnson Grand Hotel,Deluxe,120365.37
Johnson Grand Hotel,Single,111960.56
Johnson Resort & Spa,Executive Suite,241665.55
Johnson Resort & Spa,Family Room,216353.04
Johnson Resort & Spa,Single,94771.88
Johnson Resort & Spa,Double,64716.11
Lawrence Suites,Executive Suite,455535.85
Lawrence Suites,Suite,308049.80
Lawrence Suites,Family Room,227489.50
Lynch Inn,Executive Suite,436831.96
Lynch Inn,Deluxe,166093.49
Lynch Inn,Suite,148599.39
Lynch Inn,Double,83717.21
Lynch Inn,Family Room,82572.46
Martin Plaza Hotel,Suite,427305.17
Martin Plaza Hotel,Deluxe,143884.16
Martin Plaza Hotel,Single,82322.06
Mcclain Suites,Executive Suite,364278.83
Mcclain Suites,Deluxe,247366.17
Mcclain Suites,Double,186139.26
Miller Grand Hotel,Suite,284878.43
Miller Grand Hotel,Executive Suite,195489.48
Miller Grand Hotel,Family Room,169356.38
Miller Grand Hotel,Deluxe,88649.54
Miller Grand Hotel,Double,72290.18
Miller Suites,Family Room,337309.29
Miller Suites,Deluxe,183298.53
Miller Suites,Single,92901.61
Montgomery Suites,Executive Suite,447190.04
Montgomery Suites,Deluxe,211110.63
Montgomery Suites,Double,108525.71
Moore Inn,Executive Suite,508473.11
Moore Inn,Suite,210114.98
Moore Inn,Family Room,148227.57
Moore Inn,Single,74120.66
Moore Inn,Double,48084.59
Munoz Grand Hotel,Executive Suite,491587.87
Munoz Grand Hotel,Family Room,218549.57
Munoz Grand Hotel,Suite,192646.45
Munoz Grand Hotel,Deluxe,58046.43
Munoz Grand Hotel,Single,21342.05
Pacheco Suites,Executive Suite,369588.50
Pacheco Suites,Family Room,254444.40
Pacheco Suites,Deluxe,138444.13
Pacheco Suites,Single,84553.61
Perez Suites,Executive Suite,507343.29
Perez Suites,Family Room,235866.20
Perez Suites,Double,88071.43
Peterson Inn,Executive Suite,563077.47
Peterson Inn,Suite,296596.74
Peterson Inn,Family Room,148792.14
Ramirez Resort & Spa,Executive Suite,561822.75
Ramirez Resort & Spa,Family Room,259384.83
Ramirez Resort & Spa,Double,72281.46
Ray Grand Hotel,Suite,252388.15
Ray Grand Hotel,Family Room,132559.48
Ray Grand Hotel,Single,85624.95
Ray Grand Hotel,Double,77432.81
Reid Inn,Suite,191251.69
Reid Inn,Deluxe,134911.84
Reid Inn,Double,127280.27
Reid Inn,Single,62036.83
Rhodes Resort & Spa,Suite,244543.79
Rhodes Resort & Spa,Double,125898.39
Rhodes Resort & Spa,Deluxe,121255.15
Rhodes Resort & Spa,Single,73413.48
Roberts Inn,Deluxe,179802.86
Roberts Inn,Family Room,143343.99
Roberts Inn,Suite,128012.59
Roberts Inn,Double,74192.45
Roberts Inn,Single,41607.22
Robinson Plaza Hotel,Executive Suite,469540.17
Robinson Plaza Hotel,Family Room,253757.84
Robinson Plaza Hotel,Single,192352.65
Robinson Plaza Hotel,Double,177669.68
Robinson Plaza Hotel,Deluxe,96583.75
Rogers Grand Hotel,Suite,196126.04
Rogers Grand Hotel,Deluxe,161051.66
Rogers Grand Hotel,Double,125645.72
Rogers Grand Hotel,Single,42447.00
Roman Inn,Executive Suite,210598.08
Roman Inn,Family Room,204577.13
Roman Inn,Suite,114685.68
Roman Inn,Deluxe,88369.75
Roman Inn,Single,52607.31
Santos Inn,Executive Suite,519989.56
Santos Inn,Suite,205026.77
Santos Inn,Deluxe,100576.15
Santos Inn,Family Room,54625.04
Santos Inn,Double,34045.16
Shaffer Inn,Deluxe,223887.50
Shaffer Inn,Family Room,144910.18
Shaffer Inn,Double,83462.33
Shaffer Inn,Single,45044.58
Smith Grand Hotel,Executive Suite,378913.81
Smith Grand Hotel,Deluxe,176026.59
Smith Grand Hotel,Double,104654.74
Smith Grand Hotel,Family Room,94024.01
Smith Grand Hotel,Suite,61420.36
Wagner Resort & Spa,Executive Suite,294226.20
Wagner Resort & Spa,Suite,287169.92
Wagner Resort & Spa,Family Room,196551.70
Wagner Resort & Spa,Deluxe,100594.18
Walker Suites,Suite,221139.35
Walker Suites,Executive Suite,204998.96
Walker Suites,Deluxe,174650.49
Walker Suites,Family Room,66829.66
Walker Suites,Single,55915.67
Williams Suites,Family Room,223705.32
Williams Suites,Deluxe,203037.67
Williams Suites,Double,167176.35
Wolfe Resort & Spa,Family Room,194807.95
Wolfe Resort & Spa,Suite,176823.71
Wolfe Resort & Spa,Double,114218.88
Wolfe Resort & Spa,Deluxe,112625.41
Wong Inn,Suite,280528.51
Wong Inn,Family Room,233152.76
Wong Inn,Executive Suite,231951.94
Wong Inn,Double,83037.87
Wood Inn,Executive Suite,343903.91
Wood Inn,Suite,233628.50
Wood Inn,Deluxe,135164.30
Wood Inn,Double,94124.03
Zuniga Suites,Deluxe,157467.51
Zuniga Suites,Family Room,96242.28
Zuniga Suites,Double,96034.71
Zuniga Suites,Single,84719.18
Zuniga Suites,Executive Suite,69417.40
